,0
0,Calatagan-Batangas-BuntongGasang-2
1,Calatagan-Batangas-BuntongGasang-2
2,Calatagan-Batangas-BuntongGasang-2
3,Calatagan-Batangas-BuntongGasang-2
4,Calatagan-Batangas-BuntongGasang-2
5,Calatagan-Batangas-BuntongGasang-2
6,Calatagan-Batangas-BuntongGasang-2
7,Calatagan-Batangas-BuntongGasang-2
8,Calatagan-Batangas-BuntongGasang-2
9,Calatagan-Batangas-BuntongGasang-2
10,Calatagan-Batangas-BuntongGasang-3
11,Calatagan-Batangas-BuntongGasang-3
12,Calatagan-Batangas-BuntongGasang-3
13,Calatagan-Batangas-BuntongGasang-3
14,Calatagan-Batangas-BuntongGasang-3
15,Calatagan-Batangas-BuntongGasang-3
16,Calatagan-Batangas-BuntongGasang-3
17,Calatagan-Batangas-BuntongGasang-3
18,Calatagan-Batangas-BuntongGasang-3
19,Calatagan-Batangas-BuntongGasang-3
20,Calatagan-Batangas-BuntongGasang-1
21,Calatagan-Batangas-BuntongGasang-1
22,Calatagan-Batangas-BuntongGasang-1
23,Calatagan-Batangas-BuntongGasang-1
24,Calatagan-Batangas-BuntongGasang-1
25,Calatagan-Batangas-BuntongGasang-1
26,Calatagan-Batangas-BuntongGasang-1
27,Calatagan-Batangas-BuntongGasang-1
28,Calatagan-Batangas-BuntongGasang-1
29,Calatagan-Batangas-BuntongGasang-1
30,Calatagan-Batangas-QuilitisanMPA-2
31,Calatagan-Batangas-QuilitisanMPA-2
32,Calatagan-Batangas-QuilitisanMPA-2
33,Calatagan-Batangas-QuilitisanMPA-2
34,Calatagan-Batangas-QuilitisanMPA-2
35,Calatagan-Batangas-QuilitisanMPA-2
36,Calatagan-Batangas-QuilitisanMPA-2
37,Calatagan-Batangas-QuilitisanMPA-2
38,Calatagan-Batangas-QuilitisanMPA-2
39,Calatagan-Batangas-QuilitisanMPA-2
40,Calatagan-Batangas-QuilitisanMPA-3
41,Calatagan-Batangas-QuilitisanMPA-3
42,Calatagan-Batangas-QuilitisanMPA-3
43,Calatagan-Batangas-QuilitisanMPA-3
44,Calatagan-Batangas-QuilitisanMPA-3
45,Calatagan-Batangas-QuilitisanMPA-3
46,Calatagan-Batangas-QuilitisanMPA-3
47,Calatagan-Batangas-QuilitisanMPA-3
48,Calatagan-Batangas-QuilitisanMPA-3
49,Calatagan-Batangas-QuilitisanMPA-3
50,Calatagan-Batangas-QuilitisanMPA-1
51,Calatagan-Batangas-QuilitisanMPA-1
52,Calatagan-Batangas-QuilitisanMPA-1
53,Calatagan-Batangas-QuilitisanMPA-1
54,Calatagan-Batangas-QuilitisanMPA-1
55,Calatagan-Batangas-QuilitisanMPA-1
56,Calatagan-Batangas-QuilitisanMPA-1
57,Calatagan-Batangas-QuilitisanMPA-1
58,Calatagan-Batangas-QuilitisanMPA-1
59,Calatagan-Batangas-QuilitisanMPA-1
